epoch,box_loss,cls_loss,l1_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image
72,1.43272,1.54403,1.24757,4.13377,4.38103,0.633779,0.0043563,0.533188,0.930707,0.851621,0.444203,0.484945,0.946367
73,1.43217,1.53122,1.23294,4.10195,4.35802,0.631438,0.00433918,0.539477,0.930162,0.8521,0.444641,0.485387,0.938075
74,1.42707,1.53506,1.23177,4.09801,4.35652,0.629097,0.00432187,0.53776,0.930979,0.852124,0.445054,0.485761,0.945128
75,1.42534,1.54253,1.24168,4.11442,4.36927,0.626756,0.00430438,0.537706,0.930798,0.852621,0.445404,0.486126,0.967051
76,1.42406,1.52142,1.23711,4.08955,4.33726,0.624415,0.0042867,0.53934,0.931796,0.851887,0.445941,0.486536,0.937297
77,1.41936,1.51968,1.23995,4.08609,4.3319,0.622074,0.00426884,0.539936,0.932844,0.852464,0.445922,0.486576,0.938797
78,1.42536,1.53001,1.22844,4.08883,4.33862,0.619732,0.0042508,0.542037,0.933746,0.853248,0.445658,0.486417,0.938358
79,1.42829,1.51907,1.2383,4.09145,4.33767,0.617391,0.00423258,0.542802,0.933002,0.854474,0.446358,0.48717,0.968753
80,1.42987,1.52838,1.22397,4.07777,4.34909,0.61505,0.00421419,0.544341,0.933647,0.856459,0.447615,0.4885,0.943728
81,1.42199,1.52432,1.22056,4.06453,4.32878,0.612709,0.00419562,0.545571,0.933531,0.856574,0.447801,0.488678,0.9518
82,1.41978,1.51184,1.22682,4.05952,4.31341,0.610368,0.00417687,0.545838,0.932929,0.856736,0.447602,0.488515,0.949888
83,1.41913,1.50126,1.22216,4.0495,4.28688,0.608027,0.00415796,0.546877,0.933359,0.857507,0.448445,0.489351,0.94238
84,1.41861,1.50521,1.23235,4.05628,4.30962,0.605686,0.00413888,0.546018,0.932741,0.857049,0.44836,0.489229,0.940864
85,1.42574,1.50607,1.22254,4.04987,4.31327,0.603344,0.00411964,0.544774,0.933716,0.858495,0.44897,0.489922,0.955481
86,1.41821,1.5089,1.22033,4.04523,4.30138,0.601003,0.00410023,0.54635,0.934476,0.858995,0.44975,0.490674,0.947729
87,1.41885,1.51055,1.22973,4.05681,4.31176,0.598662,0.00408065,0.544729,0.934849,0.858454,0.449419,0.490323,0.936043
88,1.425,1.50427,1.2037,4.03066,4.28411,0.596321,0.00406092,0.544839,0.935064,0.858182,0.449261,0.490153,0.943567
89,1.42454,1.49851,1.21124,4.03626,4.27771,0.59398,0.00404103,0.547148,0.935064,0.859148,0.450046,0.490956,0.945591
90,1.41852,1.49053,1.19545,4.00751,4.24502,0.591639,0.00402099,0.547569,0.935394,0.859592,0.450163,0.491106,0.941587
